ticker,group,date,ao,ac,acBottomDepth,entryPrice,return4W,return8W,return12W,maxDrawdown12W,aoLagWeeks
XLU,Defensive,2001-04-06,-0.9625,-0.6952,0.0652,6.42,6.64,7.13,2.62,-7.49,5
XLU,Defensive,2001-07-06,-0.7046,-0.5669,0.0824,6.67,-1.46,-5.64,-6.52,-7.17,
XLU,Defensive,2001-08-31,-0.9751,-0.2099,0.3570,6.29,-0.93,-4.32,-4.45,-6.19,
XLU,Defensive,2001-09-10,-1.2473,-0.2085,0.0988,6.37,-1.35,-4.16,-7.30,-8.49,
XLU,Defensive,2001-10-05,-1.5266,-0.1719,0.1353,6.37,-6.19,-8.49,-5.59,-9.23,
XLU,Defensive,2001-11-23,-2.3206,-0.3728,0.0124,6.01,-1.58,-1.26,-4.40,-7.14,
XLU,Defensive,2002-03-01,-2.1066,-0.1862,0.1700,5.92,3.11,-3.74,-1.36,-9.33,
XLU,Defensive,2002-05-17,-1.3490,-0.4350,0.0317,5.62,-3.66,-17.86,-18.25,-29.78,
XLU,Defensive,2002-08-02,-5.2046,-1.5227,0.1351,4.37,7.61,-6.66,-10.56,-25.31,
XLU,Defensive,2002-10-25,-5.9439,-0.7614,0.3113,3.91,7.76,10.35,12.99,-4.37,
XLU,Defensive,2003-03-07,-1.0877,-0.2726,0.1292,4.02,5.27,11.91,23.91,-1.33,6
XLU,Defensive,2004-05-21,-0.1361,-0.5619,0.0277,5.28,5.35,7.76,9.51,-2.16,5
XLU,Defensive,2005-11-11,-0.1647,-0.9361,0.1075,7.54,4.44,5.96,4.25,-3.21,5
XLU,Defensive,2006-04-28,-0.9002,-0.3677,0.1228,7.84,0.99,1.93,7.73,-3.39,6
XLU,Defensive,2007-08-31,-0.7622,-0.6674,0.2648,10.05,3.84,8.38,9.37,-3.75,6
XLU,Defensive,2008-02-08,-0.2380,-1.2562,0.0358,10.30,-3.33,1.16,5.94,-5.62,
XLU,Defensive,2008-02-22,-1.4353,-1.1472,0.1927,10.41,-4.31,3.94,4.20,-4.59,
XLU,Defensive,2008-04-04,-2.2854,-0.3501,0.9897,10.42,4.72,5.46,2.19,-3.10,8
XLU,Defensive,2008-08-22,-2.1004,-0.7647,0.1705,10.15,-7.32,-26.96,-23.25,-30.98,
XLU,Defensive,2008-10-31,-8.3599,-2.0846,0.2078,7.91,2.90,-2.86,-0.47,-5.60,
XLU,Defensive,2009-03-27,-5.2550,-0.5521,0.4997,7.14,-1.70,0.12,7.70,-5.21,
XLU,Defensive,2010-05-14,-0.0808,-0.1467,0.0121,8.64,-2.37,0.61,4.63,-6.38,12
XLU,Defensive,2010-06-11,-0.8864,-0.3191,0.2611,8.44,3.06,7.17,9.35,-6.38,8
XLU,Defensive,2011-08-26,-0.0390,-0.5328,0.0619,10.04,2.27,6.77,6.03,-2.04,2
XLU,Defensive,2012-12-07,-1.4908,-0.7774,0.0800,11.34,1.95,4.63,6.97,-2.44,10
XLU,Defensive,2013-09-20,-0.8737,-0.6364,0.2865,12.49,2.40,4.89,-0.05,-4.71,8
XLU,Defensive,2014-01-03,-0.3133,-0.2214,0.0392,12.54,4.91,8.53,10.94,-1.38,5
XLU,Defensive,2015-03-20,-0.0748,-1.2930,0.3510,15.79,-1.96,-1.47,-5.42,-5.78,
XLU,Defensive,2015-05-22,-1.0237,-0.2065,0.7524,15.64,-3.11,-1.85,3.18,-5.38,
XLU,Defensive,2015-06-19,-1.8044,-0.3911,0.0326,15.15,1.31,6.50,-2.90,-10.12,
XLU,Defensive,2015-07-10,-2.6717,-0.4848,0.1681,15.22,3.30,-4.68,1.84,-10.12,
XLU,Defensive,2015-10-02,-1.5180,-0.3854,0.2776,15.50,0.92,-1.38,1.33,-6.68,3
XLU,Defensive,2015-12-11,-0.6723,-0.3936,0.1109,14.94,4.24,12.61,13.91,-2.17,6
XLU,Defensive,2016-10-21,-0.7318,-0.5421,0.7538,17.76,-3.56,1.82,2.03,-5.01,
XLU,Defensive,2016-11-04,-1.4766,-0.6599,0.6133,17.74,-2.40,2.26,1.88,-4.00,
XLU,Defensive,2016-12-16,-2.1762,-0.1041,0.5877,18.09,0.21,1.82,5.27,-1.22,10
XLU,Defensive,2018-01-26,-2.5217,-1.5670,0.2972,19.70,-1.35,-3.14,-0.69,-4.86,
XLU,Defensive,2019-01-25,-0.4862,-1.2767,0.1522,21.29,7.00,10.51,8.24,-2.05,3
XLU,Defensive,2020-04-03,-6.6891,-5.4692,0.2542,21.55,7.90,15.25,7.43,-9.90,
XLU,Defensive,2020-07-24,-3.0070,-0.1209,0.3940,25.28,-1.43,-2.92,7.09,-4.83,10
XLU,Defensive,2021-03-19,-0.8668,-0.8503,0.2575,26.54,8.86,6.76,7.08,-3.05,3
XLU,Defensive,2021-10-22,-0.2233,-1.5153,0.2922,29.35,0.07,4.10,4.01,-3.05,2
XLU,Defensive,2022-03-04,-0.0422,-0.7076,0.5969,31.18,7.21,1.19,7.02,-7.41,1
XLU,Defensive,2022-07-15,-1.5895,-1.6406,0.0889,31.13,9.98,10.92,-7.99,-17.39,3
XLU,Defensive,2022-10-28,-6.4918,-4.0320,0.5771,30.29,5.24,6.06,3.54,-2.94,9
XLU,Defensive,2023-03-03,-2.7843,-1.1422,0.0042,30.01,2.92,4.88,-1.79,-7.48,9
XLU,Defensive,2023-06-16,-2.0846,-1.2922,0.0704,30.71,0.14,-3.28,-5.36,-8.50,
XLU,Defensive,2023-09-08,-3.1868,-0.9970,0.0048,29.06,-8.65,-1.30,1.37,-11.13,
XLU,Defensive,2023-11-03,-6.1722,-0.8597,0.6852,28.69,2.70,3.34,-0.12,-5.50,9
XLU,Defensive,2024-02-23,-1.6424,-0.5302,0.3531,29.00,3.91,6.47,17.71,-2.21,4
XLU,Defensive,2025-04-17,-1.3163,-0.8799,0.3245,37.82,5.67,4.69,6.75,-1.70,4
XLU,Defensive,2026-01-09,-35.8261,-12.8052,3.5732,42.22,1.98,9.95,9.76,-6.45,
XLP,Defensive,2001-04-12,-1.5014,-0.8053,0.0976,13.29,2.99,5.64,-0.58,-6.55,
XLP,Defensive,2001-07-20,-0.9334,-0.2784,0.0165,13.78,0.71,0.67,0.61,-9.28,7
XLP,Defensive,2001-10-05,-0.2667,-0.1723,0.0364,13.90,0.08,2.28,0.86,-5.28,3
XLP,Defensive,2002-01-18,-0.0268,-0.1990,0.0121,13.80,1.39,5.39,2.28,-3.97,5
XLP,Defensive,2002-02-08,-0.1661,-0.1045,0.1065,13.69,3.89,2.05,1.53,-4.46,2
XLP,Defensive,2002-05-31,-0.5147,-0.2925,0.0375,13.68,-10.18,-17.45,-12.04,-23.79,
XLP,Defensive,2002-08-02,-3.7736,-0.8367,0.2642,11.63,1.95,-4.42,-0.45,-8.46,
XLP,Defensive,2002-10-11,-2.7644,-0.2222,0.0347,11.36,-0.73,-1.13,-0.16,-4.12,
XLP,Defensive,2003-03-07,-1.4319,-0.2573,0.0597,10.12,4.59,6.81,11.30,-3.80,
XLP,Defensive,2004-08-20,-0.4598,-0.4017,0.0494,12.81,-0.84,-3.44,3.11,-5.42,
XLP,Defensive,2004-10-22,-0.9477,-0.2535,0.0234,12.30,5.94,7.23,8.92,-1.39,6
XLP,Defensive,2005-07-15,-0.0589,-0.1830,0.0280,13.61,-1.20,0.00,-1.74,-2.71,3
XLP,Defensive,2005-09-09,-0.0499,-0.0700,0.1130,13.61,-1.74,-0.28,1.23,-2.28,10
XLP,Defensive,2005-10-28,-0.1971,-0.0861,0.0043,13.52,2.69,3.08,0.90,-2.65,3
XLP,Defensive,2007-08-31,-0.1034,-0.1831,0.0998,16.34,4.59,5.94,6.69,-1.77,3
XLP,Defensive,2008-02-08,-0.4260,-0.7444,0.0897,16.46,1.01,6.42,5.45,-2.32,11
XLP,Defensive,2008-07-18,-0.8454,-0.4382,0.0398,16.63,7.98,8.65,-11.44,-18.49,5
XLP,Defensive,2008-11-07,-3.2921,-1.5099,0.2065,15.14,-2.31,0.65,-7.91,-8.51,
XLP,Defensive,2009-03-20,-3.7675,-0.3344,0.1705,13.03,7.39,8.75,14.34,-2.67,11
XLP,Defensive,2010-06-11,-0.2336,-0.4081,0.1967,17.20,0.76,3.08,3.84,-4.54,10
