ticker,date,sector,ret4W,ret8W,ret12W,maxDD,aoLag,macroFilter,clean
NEE,2001-02-09,XLU,6.33,-4.65,-10.08,-10.08,2,bear,1
NEE,2001-04-20,XLU,-5.62,-0.30,-2.57,-8.27,39,bear,1
NEE,2001-06-01,XLU,3.74,-6.36,-4.64,-7.99,33,bear,1
NEE,2001-08-03,XLU,-0.14,-1.61,-2.90,-2.90,24,bear,1
NEE,2001-08-24,XLU,-2.11,-3.20,-0.35,-3.55,21,bear,1
NEE,2001-10-26,XLU,4.16,6.42,7.53,0.00,12,bear,1
NEE,2002-03-01,XLU,9.91,14.10,19.23,0.00,3,bear,1
NEE,2002-08-02,XLU,5.31,-2.61,8.16,-4.31,16,bear,1
NEE,2002-10-11,XLU,6.52,9.43,16.76,0.00,6,bear,1
NEE,2004-05-21,XLU,5.01,5.42,11.29,0.00,11,bull,1
NEE,2005-04-22,XLU,-2.74,0.65,5.46,-3.70,26,bull,1
NEE,2005-12-02,XLU,-2.14,-1.91,-1.62,-5.02,31,bull,1
NEE,2006-01-13,XLU,0.41,-5.05,-2.88,-5.05,25,bull,1
NEE,2006-04-13,XLU,0.49,8.30,6.88,-1.57,12,bull,1
NEE,2006-05-05,XLU,2.13,4.53,8.63,-4.05,9,bull,1
NEE,2007-07-13,XLU,4.77,2.68,10.11,-4.42,11,bull,1
NEE,2008-02-22,XLU,-5.09,3.59,0.36,-6.00,1,bear,1
NEE,2008-04-04,XLU,3.79,2.38,-3.03,-3.03,3,bear,1
NEE,2008-08-29,XLU,-7.89,-28.07,-19.46,-38.26,33,bear,0
NEE,2008-10-24,XLU,11.97,17.72,16.42,0.00,25,bear,1
NEE,2009-03-20,XLU,3.30,10.31,17.28,0.00,4,bear,1
NEE,2009-11-13,XLU,10.99,3.87,-6.47,-6.47,27,bull,1
NEE,2010-02-19,XLU,3.82,4.40,13.63,-0.04,13,bull,1
NEE,2010-06-25,XLU,7.29,8.27,10.25,-0.53,3,bear,1
NEE,2010-12-17,XLU,4.80,6.56,8.88,0.00,5,bull,1
NEE,2011-08-26,XLU,-2.89,0.83,0.22,-3.27,11,bear,1
NEE,2011-10-14,XLU,1.75,5.85,8.51,-3.19,4,bear,1
NEE,2011-12-09,XLU,2.51,4.75,5.08,0.00,2,bull,1
NEE,2012-12-07,XLU,2.18,4.19,5.27,-1.61,2,bull,1
NEE,2014-10-17,XLU,8.06,7.71,13.94,0.00,3,bear,1
NEE,2015-06-05,XLU,1.47,6.51,3.87,-0.07,10,bull,1
NEE,2015-07-02,XLU,4.97,2.37,-0.86,-4.87,6,bull,1
NEE,2015-10-02,XLU,4.18,1.62,6.29,-0.38,5,bear,1
NEE,2015-12-11,XLU,7.97,16.63,18.21,0.00,4,bear,1
NEE,2016-12-16,XLU,0.13,5.53,10.21,-0.21,9,bull,1
NEE,2020-04-03,XLU,2.44,15.30,7.16,0.00,10,bear,1
NEE,2020-05-29,XLU,-7.06,10.26,11.11,-7.06,2,bull,1
NEE,2020-12-04,XLU,6.38,11.51,1.85,0.00,35,bull,1
NEE,2022-02-18,XLU,11.69,12.29,-5.36,-5.36,8,bear,1
NEE,2022-05-27,XLU,0.76,3.64,15.86,-8.55,10,bear,1
NEE,2022-10-28,XLU,8.52,7.04,4.05,-0.29,4,bear,1
NEE,2023-03-03,XLU,4.40,3.79,0.76,-1.11,51,bull,1
NEE,2023-06-16,XLU,-3.16,-8.82,-10.98,-10.98,42,bull,1
NEE,2023-09-08,XLU,-24.82,-11.15,-10.74,-24.82,30,bull,0
NEE,2023-11-03,XLU,0.46,3.12,-0.71,-7.14,22,bull,1
NEE,2024-02-23,XLU,9.82,14.30,35.26,-1.86,6,bull,1
NEE,2025-01-17,XLU,-3.82,4.78,-6.24,-6.24,23,bull,1
NEE,2025-05-02,XLU,5.29,6.52,7.96,0.00,8,bear,1
SO,2001-02-09,XLU,2.52,73.28,83.99,-0.07,1,bear,1
SO,2001-05-11,XLU,1.73,2.52,8.60,-0.44,23,bear,1
SO,2001-12-21,XLU,3.10,3.43,8.80,0.00,2,bear,1
SO,2002-12-13,XLU,6.00,3.08,3.33,0.00,3,bear,1
SO,2003-08-15,XLU,3.59,5.23,5.66,-0.89,8,bull,1
SO,2003-12-12,XLU,0.67,-0.23,4.51,-0.74,2,bull,1
SO,2004-05-21,XLU,3.06,4.98,7.46,0.00,12,bull,1
SO,2006-03-10,XLU,-3.94,-2.59,-0.77,-5.47,22,bull,1
SO,2006-05-05,XLU,1.87,0.09,5.65,-2.75,14,bull,1
SO,2007-06-22,XLU,0.91,7.26,8.45,-0.47,13,bull,1
