rank,ticker,sector,signals,hitRate8W,avgRet4W,avgRet8W,avgRet12W,avgMaxDD,avgAoLag,cleanSigs,cleanHitRate,score,bestRet8W,worstRet8W
1,ORCL,XLK,50,76.0,4.18,5.83,7.77,-4.94,14.2,46,80.4,1.3997,67.33,-28.16
2,DLR,XLRE,45,71.1,3.97,5.91,5.75,-4.99,16.8,43,74.4,1.3657,51.92,-21.98
3,AVGO,XLK,25,76.0,6.97,10.13,10.43,-6.00,10.6,22,81.8,1.3534,45.45,-14.21
4,AAPL,XLK,29,75.9,1.13,5.32,9.64,-6.45,16.7,27,81.5,1.3166,34.81,-24.84
5,PLD,XLRE,47,76.6,4.78,6.07,6.94,-7.51,11.7,42,81.0,1.3124,84.36,-68.62
6,KIM,XLRE,49,73.5,3.30,6.70,5.44,-6.76,17.1,43,79.1,1.2974,54.26,-16.97
7,EQIX,XLRE,35,77.1,2.82,6.25,8.94,-7.26,13.3,28,89.3,1.2954,29.01,-37.47
8,FOXA,XLC,13,69.2,3.24,4.02,2.91,-3.59,17.9,13,69.2,1.2376,18.70,-4.24
9,LYV,XLC,37,67.6,6.53,10.42,8.91,-6.61,15.1,31,77.4,1.2310,79.87,-26.99
10,CRM,XLK,30,73.3,3.78,7.64,11.17,-8.11,14.6,25,80.0,1.2289,44.14,-31.15
11,O,XLRE,48,72.9,1.77,4.32,3.91,-5.08,14.5,46,71.7,1.2282,19.18,-12.73
12,VICI,XLRE,20,65.0,0.52,4.19,2.89,-3.67,13.8,20,65.0,1.1975,38.53,-9.31
13,META,XLC,16,68.8,5.28,9.84,12.91,-9.30,20.0,12,91.7,1.1629,62.98,-39.70
14,VTR,XLRE,41,70.7,3.03,5.04,3.27,-7.63,15.6,33,72.7,1.1061,47.10,-12.88
15,PSA,XLRE,52,61.5,2.51,3.79,4.45,-4.89,16.1,49,65.3,1.0700,32.42,-13.81
16,IBM,XLK,56,69.6,2.25,3.02,3.15,-5.69,12.6,51,72.5,1.0564,23.69,-22.18
17,APH,XLK,36,66.7,3.50,4.39,6.67,-8.62,14.9,28,85.7,1.0500,63.64,-45.37
18,ESS,XLRE,46,63.0,1.97,3.72,1.91,-5.65,16.5,43,65.1,1.0484,23.98,-8.90
19,NWSA,XLC,27,70.4,2.41,3.18,1.20,-7.36,19.0,23,78.3,1.0246,31.69,-19.38
20,WELL,XLRE,39,66.7,1.92,2.88,2.57,-5.57,15.2,36,66.7,1.0063,17.39,-8.84
21,VZ,XLC,69,65.2,1.70,1.96,2.07,-5.09,19.3,66,68.2,0.9563,20.43,-18.17
22,IRM,XLRE,58,63.8,1.82,2.99,4.10,-7.62,17.1,51,70.6,0.9430,34.52,-23.39
23,TXN,XLK,56,66.1,1.21,2.58,2.69,-8.74,17.3,45,80.0,0.9047,25.88,-24.92
24,EA,XLC,56,58.9,1.01,3.16,3.23,-8.22,17.5,46,69.6,0.8801,39.05,-25.98
25,GOOGL,XLC,28,71.4,0.59,2.08,3.68,-10.85,20.8,21,90.5,0.8728,25.52,-95.20
26,KLAC,XLK,48,54.2,2.38,5.01,6.33,-11.02,16.5,32,75.0,0.8669,49.19,-41.93
27,CBRE,XLRE,31,67.7,1.39,3.31,0.68,-13.51,17.3,21,90.5,0.8452,32.03,-53.56
28,QCOM,XLK,62,53.2,3.21,3.54,2.30,-8.52,21.4,52,61.5,0.8414,59.85,-38.72
29,SPG,XLRE,42,59.5,1.51,2.58,0.68,-8.39,16.7,36,66.7,0.8413,43.98,-15.32
30,TTWO,XLC,52,57.7,1.34,3.45,8.22,-10.11,18.1,37,75.7,0.8274,60.39,-26.05
