ticker,sector,tier,signalLevel,signalDate,weeksActive,ao,ac,acColor,hrHistorical,avgRetHistorical,maxDdHistorical,aoLagHistorical,aoRecovery,aoBottomDepth
PG,XLP,1,S1,2026-04-17,1,-5.7541,-3.0828,green,65.4,3.1,-3.2,13.8,,
AES,XLU,2,S1,2026-04-10,2,0.0241,-0.0833,green,,,,,,
ES,XLU,2,S1,2026-04-23,0,-0.7985,-1.6999,green,,,,,,
NRG,XLU,2,S1,2026-04-10,2,-4.7329,0.1064,green,,,,,,
BA,XLI,2,S1,2026-04-10,2,-5.7021,2.8764,green,,,,,,
CTAS,XLI,2,S1,2026-04-17,1,-15.4604,-5.1597,green,,,,,,
EMR,XLI,2,S1,2026-04-10,2,-1.0326,1.0822,green,,,,,,
GE,XLI,2,S1,2026-04-17,1,-10.3840,-8.4771,green,,,,,,
MMM,XLI,2,S1,2026-04-10,2,-11.1514,-0.5725,green,,,,,,
CLX,XLP,2,S1,2026-04-10,2,-8.3613,-3.4202,green,,,,,,
GIS,XLP,2,S1,2026-04-10,2,-9.0797,-1.4423,green,,,,,,
HRL,XLP,2,S1,2026-04-23,0,-1.8454,-0.5154,green,,,,,,
KHC,XLP,2,S1,2026-04-10,2,-1.9684,-0.0084,green,,,,,,
KMB,XLP,2,S1,2026-04-17,1,-10.2715,0.0501,green,,,,,,
MDLZ,XLP,2,S1,2026-04-10,2,-0.7556,0.1995,green,,,,,,
SYY,XLP,2,S1,2026-04-17,1,-3.5243,-3.9296,green,,,,,,
MRO,XLE,2,S1,2024-11-08,2,0.0821,0.1984,green,,,,,,
SO,XLU,1,none,,0,3.1455,-0.7616,red,85,6.6,-1.7,11.8,,
WEC,XLU,1,none,,0,3.8124,-0.3221,red,80.4,4.13,-3,12.4,,
SRE,XLU,1,none,,0,5.2505,-0.0963,red,79.5,4.89,-3,15.6,,
DUK,XLU,1,none,,0,5.8237,-0.9699,red,79.2,3.42,-4.9,18.4,,
AEE,XLU,1,none,,0,5.9065,-0.2744,green,78,4.12,-3.1,14.7,,
NEE,XLU,1,none,,0,7.9845,-0.6568,green,77.1,3.82,-4.2,14.6,,
ED,XLU,1,none,,0,7.8277,-1.1012,red,76.4,4,-2.4,10.8,,
HON,XLI,1,none,,0,12.0154,-3.8617,green,75,4.8,-4.5,12.1,,
DE,XLI,1,none,,0,64.7426,-6.4394,green,74.5,6.09,-4.3,11.7,,
COST,XLP,1,none,,0,49.0794,-0.1066,green,74.4,4.39,-4.2,11.6,,
ETR,XLU,1,none,,0,14.0299,2.3827,green,74.4,3.61,-3.5,13.2,,
MO,XLP,1,none,,0,2.6303,-0.4938,green,69.4,2.8,-4.1,11.2,,
LMT,XLI,1,none,,0,62.1298,-32.7543,red,66.7,5.2,-3.8,10.5,,
ATO,XLU,2,none,,0,11.0183,-0.7595,red,,,,,,
AWK,XLU,2,none,,0,0.9086,-0.3760,red,,,,,,
CNP,XLU,2,none,,0,2.8187,-0.3534,red,,,,,,
D,XLU,2,none,,0,1.1305,-0.0480,green,,,,,,
EIX,XLU,2,none,,0,9.7918,-0.8428,red,,,,,,
EXC,XLU,2,none,,0,2.0056,-0.6886,red,,,,,,
FE,XLU,2,none,,0,3.3881,-0.4888,red,,,,,,
LNT,XLU,2,none,,0,3.8259,-0.0078,green,,,,,,
NI,XLU,2,none,,0,3.2912,0.1072,green,,,,,,
PCG,XLU,2,none,,0,1.1679,-0.4268,red,,,,,,
PPL,XLU,2,none,,0,1.8317,0.1973,green,,,,,,
XEL,XLU,2,none,,0,1.6197,-0.7472,green,,,,,,
AME,XLI,2,none,,0,16.7056,0.9443,green,,,,,,
CAT,XLI,2,none,,0,137.1939,9.5944,green,,,,,,
ETN,XLI,2,none,,0,24.9392,13.2468,green,,,,,,
FDX,XLI,2,none,,0,67.8280,-3.3779,green,,,,,,
GWW,XLI,2,none,,0,83.7697,12.4194,green,,,,,,
ITW,XLI,2,none,,0,4.1030,-2.3512,green,,,,,,
NOC,XLI,2,none,,0,41.4701,-34.1141,red,,,,,,
PH,XLI,2,none,,0,69.2493,0.3469,green,,,,,,
RTX,XLI,2,none,,0,11.2794,-6.4226,red,,,,,,
UNP,XLI,2,none,,0,12.3109,0.2317,green,,,,,,
UPS,XLI,2,none,,0,2.3055,-0.2655,green,,,,,,
WAB,XLI,2,none,,0,33.1761,2.1479,green,,,,,,
CL,XLP,2,none,,0,0.9846,-2.7271,green,,,,,,
HSY,XLP,2,none,,0,7.5479,-10.4191,red,,,,,,
K,XLP,2,none,,0,2.1603,0.0790,red,,,,,,
KO,XLP,2,none,,0,3.7058,-1.0110,green,,,,,,
PEP,XLP,2,none,,0,4.3581,-1.8800,green,,,,,,
PM,XLP,2,none,,0,-2.5026,-4.5997,green,,,,,,
TSN,XLP,2,none,,0,5.1826,0.8083,green,,,,,,
WMT,XLP,2,none,,0,11.0185,-0.4410,green,,,,,,
APA,XLE,2,none,,0,11.6718,0.7291,red,,,,,,
BKR,XLE,2,none,,0,9.2397,-0.0602,green,,,,,,
COP,XLE,2,none,,0,23.4228,-0.4627,red,,,,,,
CVX,XLE,2,none,,0,27.1006,-3.7120,red,,,,,,
FANG,XLE,2,none,,0,30.7142,-0.3299,red,,,,,,
HAL,XLE,2,none,,0,7.9276,0.0916,red,,,,,,
