ticker,date,sector,ret4W,ret8W,ret12W,maxDD,aoLag,aoBottomDepth,aoRecovery,macroFilter,clean
NEE,2001-11-02,XLU,0.0436,0.0639,0.0554,0.0000,11,8,0.792735,bear,true
NEE,2002-03-15,XLU,0.0480,0.0762,-0.0010,0.0000,1,16,2.002794,bull,true
NEE,2007-09-21,XLU,-0.0382,0.0772,0.1062,-0.0382,1,7,1.464441,bull,true
NEE,2024-03-15,XLU,0.0499,0.2282,0.2631,0.0000,3,16,7.569404,bull,true
NEE,2025-02-21,XLU,-0.0018,-0.0661,0.0562,-0.0732,18,1,0.246926,bull,true
NEE,2025-03-14,XLU,-0.1052,-0.0441,-0.0110,-0.1052,15,4,0.833923,bear,true
SO,2020-06-05,XLU,-0.0968,-0.0657,-0.0924,-0.1288,19,8,2.557706,bull,true
SO,2020-09-18,XLU,0.1049,0.2221,0.1556,0.0000,4,9,1.922664,bull,true
DUK,2008-08-08,XLU,-0.0355,-0.0327,-0.0873,-0.0355,47,2,0.223544,bear,true
DUK,2009-01-09,XLU,0.0269,-0.1921,-0.0564,-0.1921,25,3,0.356676,bear,false
DUK,2020-06-05,XLU,-0.0855,-0.0531,-0.0989,-0.1180,18,8,5.744647,bull,true
DUK,2020-09-25,XLU,0.1250,0.1341,0.1064,0.0000,2,9,3.014412,bull,true
DUK,2023-09-15,XLU,-0.0683,-0.0726,0.0030,-0.0868,13,11,3.476813,bull,true
CEG,2025-05-09,XLU,0.1025,0.1508,0.2574,0.0000,2,2,13.619912,bear,true
SRE,2001-12-21,XLU,0.0494,-0.0249,0.0029,-0.0436,16,3,0.381588,bear,true
SRE,2006-07-21,XLU,0.0142,0.0521,0.1179,0.0000,2,3,0.336971,bear,true
SRE,2025-07-18,XLU,0.0381,0.0727,0.1610,0.0000,3,14,10.072162,bull,true
AEP,2001-12-28,XLU,-0.0400,-0.0166,0.0824,-0.0548,12,4,0.331824,bear,true
AEP,2002-03-08,XLU,0.0315,0.0104,-0.0463,-0.0137,2,14,2.085794,bull,true
AEP,2007-10-05,XLU,-0.0110,0.0025,-0.0141,-0.0488,2,1,0.394669,bull,true
AEP,2011-04-29,XLU,0.0637,0.0299,0.0468,0.0000,2,2,0.435676,bull,true
AEP,2020-06-05,XLU,-0.0350,0.0160,-0.0763,-0.0878,19,7,2.646176,bull,true
AEP,2020-10-02,XLU,0.0543,0.0037,-0.0377,-0.0250,2,16,4.188603,bull,true
AEP,2021-12-17,XLU,0.0513,0.0217,0.1136,-0.0002,3,1,0.603676,bull,true
AEP,2023-04-06,XLU,-0.0293,-0.1125,-0.1046,-0.1253,3,2,1.273010,bull,true
AEP,2023-11-10,XLU,0.0250,0.0820,0.0120,-0.0040,8,2,2.173454,bull,true
D,2002-03-08,XLU,0.0590,0.0712,0.0517,-0.0032,2,11,2.184500,bull,true
D,2006-06-30,XLU,0.0509,0.0814,0.0291,0.0000,4,11,3.744647,bull,true
D,2018-06-15,XLU,0.0555,0.0661,0.0901,0.0000,8,5,0.597324,bull,true
D,2020-05-01,XLU,0.1243,0.0655,0.0753,0.0000,6,3,3.501676,bear,true
D,2021-03-26,XLU,0.0475,0.0323,-0.0046,-0.0008,4,9,1.071699,bull,true
D,2021-12-17,XLU,0.0331,0.0320,0.0823,0.0000,2,8,0.843426,bull,true
D,2023-04-06,XLU,-0.0270,-0.1295,-0.0958,-0.1412,50,16,5.379209,bull,true
EXC,2012-03-23,XLU,-0.0281,-0.0150,-0.0269,-0.0348,52,2,0.088891,bull,true
EXC,2019-12-20,XLU,0.0427,0.0948,-0.1938,-0.0009,6,16,0.342015,bull,true
EXC,2020-07-31,XLU,-0.0310,-0.0708,0.1040,-0.0825,12,15,6.238569,bull,true
EXC,2020-10-09,XLU,0.0929,0.0534,0.0866,0.0000,2,12,2.134357,bull,true
EXC,2023-04-06,XLU,-0.0049,-0.0703,-0.0457,-0.0773,1,16,2.559429,bull,true
EXC,2023-11-10,XLU,0.0035,-0.0708,-0.1209,-0.0976,26,2,0.845000,bull,true
EXC,2024-03-01,XLU,0.0586,0.0516,0.0442,0.0000,10,2,0.521868,bull,true
PCG,2008-08-15,XLU,0.0537,-0.2405,-0.0765,-0.2405,3,16,2.992809,bear,false
PCG,2009-06-26,XLU,0.0419,0.0711,0.0817,-0.0219,1,15,0.837103,bull,true
