ticker,sector,sectorName,totalSignals,hitRate8W,avgReturn4W,avgReturn8W,avgReturn12W,avgMaxDD,avgAoLag,cleanSignals,cleanHitRate,score,bestReturn8W,worstReturn8W
ETR,XLU,Utilities,14,0.7857,0.0119,0.0445,0.0573,-0.0213,6.7,14,0.7857,1.4526,0.1542,-0.0619
HES,XLE,Energy,10,0.7000,0.0436,0.0710,0.0481,-0.0564,13.4,10,0.7000,1.3514,0.4789,-0.1426
EL,XLP,Consumer Staples,10,0.7000,0.0406,0.0727,0.0720,-0.0727,14.1,9,0.7778,1.2687,0.4049,-0.2501
GIS,XLP,Consumer Staples,10,0.7000,0.0153,0.0319,0.0459,-0.0265,17.7,10,0.7000,1.2034,0.1214,-0.0586
CEG,XLU,Utilities,1,1.0000,0.1025,0.1508,0.2574,0.0000,2.0,1,1.0000,1.0000,0.1508,0.1508
LMT,XLI,Industrials,5,1.0000,0.0769,0.1156,0.1688,0.0000,4.6,5,1.0000,1.0000,0.1814,0.0403
PG,XLP,Consumer Staples,7,1.0000,0.0563,0.0556,0.0055,-0.0009,4.0,7,1.0000,0.9755,0.1470,0.0106
PXD,XLE,Energy,4,1.0000,0.0100,0.1338,0.0908,-0.0243,4.3,4,1.0000,0.9321,0.1973,0.0938
COST,XLP,Consumer Staples,4,1.0000,0.0291,0.1111,0.1234,-0.0285,3.5,4,1.0000,0.9211,0.1411,0.0480
LNT,XLU,Utilities,12,0.6667,0.0042,0.0112,0.0087,-0.0510,9.8,11,0.7273,0.8988,0.1044,-0.1495
AEE,XLU,Utilities,12,0.5833,0.0281,0.0148,0.0211,-0.0260,5.1,12,0.5833,0.8951,0.1043,-0.0988
HON,XLI,Industrials,4,1.0000,0.0147,0.0478,0.1575,-0.0266,6.8,4,1.0000,0.8695,0.0586,0.0431
SYY,XLP,Consumer Staples,10,0.5000,0.0161,0.0249,0.0369,-0.0361,9.8,10,0.5000,0.8560,0.2310,-0.0599
MO,XLP,Consumer Staples,9,0.8889,0.0374,0.0537,0.0745,-0.0194,7.3,9,0.8889,0.8418,0.1453,-0.0725
PH,XLI,Industrials,7,0.8571,0.0612,0.0940,0.0804,-0.0250,8.0,7,0.8571,0.8373,0.2612,-0.0406
WEC,XLU,Utilities,8,0.8750,0.0372,0.0520,0.0524,-0.0180,6.8,8,0.8750,0.8281,0.1418,-0.0756
PSX,XLE,Energy,1,1.0000,0.0321,0.0246,0.1014,0.0000,3.0,1,1.0000,0.8232,0.0246,0.0246
CAT,XLI,Industrials,9,0.7778,0.0398,0.0774,0.1020,-0.0279,11.2,9,0.7778,0.7792,0.2860,-0.0907
KO,XLP,Consumer Staples,5,0.8000,0.0086,0.0605,0.0578,-0.0401,9.8,5,0.8000,0.7676,0.1174,-0.0089
WM,XLI,Industrials,8,0.8750,0.0304,0.0359,0.0144,-0.0109,2.5,8,0.8750,0.7667,0.0797,-0.0390
ED,XLU,Utilities,8,0.7500,0.0348,0.0561,0.0303,-0.0206,3.9,8,0.7500,0.7588,0.1343,-0.0795
CMS,XLU,Utilities,6,0.8333,0.0273,0.0383,0.0293,-0.0232,5.0,6,0.8333,0.7244,0.0844,-0.0815
D,XLU,Utilities,7,0.8571,0.0491,0.0313,0.0326,-0.0207,10.9,7,0.8571,0.7121,0.0814,-0.1295
WMB,XLE,Energy,5,0.8000,0.0118,0.0737,0.1012,-0.0599,15.6,4,1.0000,0.7019,0.3697,-0.1398
VLO,XLE,Energy,6,0.8333,0.0110,0.0744,0.0995,-0.0498,12.5,5,0.8000,0.6965,0.1979,-0.1281
NSC,XLI,Industrials,8,0.6250,0.0558,0.0672,0.0611,-0.0271,8.8,8,0.6250,0.6820,0.1632,-0.0413
NEE,XLU,Utilities,6,0.6667,-0.0006,0.0559,0.0782,-0.0361,8.2,6,0.6667,0.6732,0.2282,-0.0661
XEL,XLU,Utilities,4,0.7500,0.0145,0.0367,0.0386,-0.0217,3.0,4,0.7500,0.6654,0.1276,-0.0279
ITW,XLI,Industrials,3,0.6667,0.0598,0.0514,0.0346,-0.0334,12.0,3,0.6667,0.6578,0.1589,-0.1001
PPL,XLU,Utilities,5,0.8000,0.0040,0.0369,0.0866,-0.0406,4.6,4,1.0000,0.6454,0.1219,-0.1704
STZ,XLP,Consumer Staples,7,0.7143,-0.0111,0.0490,0.0834,-0.0546,11.6,7,0.7143,0.6401,0.1388,-0.0604
MRO,XLE,Energy,6,0.6667,0.0949,0.1366,0.1526,-0.0646,11.3,5,0.8000,0.6194,0.7441,-0.2459
OKE,XLE,Energy,4,0.7500,0.0017,0.0312,0.1303,-0.0393,13.5,4,0.7500,0.6092,0.1327,-0.0993
SRE,XLU,Utilities,3,0.6667,0.0339,0.0333,0.0940,-0.0145,7.0,3,0.6667,0.6067,0.0727,-0.0249
FANG,XLE,Energy,3,0.6667,0.0643,0.1201,0.0170,-0.0711,21.7,2,1.0000,0.5953,0.4868,-0.1483
WMT,XLP,Consumer Staples,6,0.8333,0.0412,0.0084,0.0066,-0.0186,4.2,6,0.8333,0.5924,0.0241,-0.0161
APA,XLE,Energy,11,0.4545,-0.0275,0.0146,0.0133,-0.0811,14.8,8,0.5000,0.5622,0.3542,-0.1859
SO,XLU,Utilities,2,0.5000,0.0040,0.0782,0.0316,-0.0644,11.5,2,0.5000,0.5447,0.2221,-0.0657
HRL,XLP,Consumer Staples,7,0.7143,0.0234,0.0161,-0.0045,-0.0271,7.0,7,0.7143,0.5369,0.0773,-0.0678
PEP,XLP,Consumer Staples,3,0.6667,-0.0246,0.0233,0.0021,-0.0363,5.0,3,0.6667,0.5258,0.0591,-0.0157
DE,XLI,Industrials,7,0.7143,0.0268,0.0177,-0.0054,-0.0465,17.0,7,0.7143,0.5166,0.1227,-0.0877
AEP,XLU,Utilities,9,0.7778,0.0123,0.0041,-0.0027,-0.0400,5.9,9,0.7778,0.5045,0.0820,-0.1125
HSY,XLP,Consumer Staples,12,0.4167,-0.0034,-0.0016,0.0163,-0.0536,5.8,12,0.4167,0.4891,0.1009,-0.1463
TSN,XLP,Consumer Staples,8,0.5000,0.0155,0.0417,0.0770,-0.0522,15.0,7,0.5714,0.4702,0.2329,-0.1620
CNP,XLU,Utilities,9,0.5556,0.0241,0.0264,0.0424,-0.0448,11.7,8,0.6250,0.4510,0.1751,-0.1599
KMI,XLE,Energy,3,0.6667,-0.0156,0.0211,0.0216,-0.1017,13.7,3,0.6667,0.4382,0.1723,-0.1105
CVX,XLE,Energy,11,0.4545,-0.0133,-0.0129,-0.0212,-0.0674,21.5,9,0.5556,0.4296,0.1132,-0.2196
